,Gene,LogFC,-Log10P
PHA,HAVCR2,4.961784,300.0
PHA,IFIT3,4.745559,300.0
PHA,IFI6,3.8357964,300.0
PHA,ISG15,3.3682933,300.0
PHA,HOPX,3.2336044,300.0
PHA,ISG20,3.0566785,300.0
PHA,PRF1,2.96111,300.0
PHA,LY6E,2.43698,300.0
PHA,MX1,3.4624078,299.4443671372233
PHA,HSPA5,2.9232328,281.9989619179083
PHA,IFI44L,3.567236,270.75991768625175
PHA,WARS,3.9469192,263.1240982946406
PHA,CALR,2.6133182,258.90295900150903
PHA,HSP90B1,2.507142,253.63442325087067
PHA,CXCR4,-3.186087,247.28672996564777
PHA,BTG1,-1.565965,242.51620614200266
PHA,FGFBP2,-5.2001467,242.1522265738615
PHA,CCND2,3.2324393,240.37301682127196
PHA,TYMP,2.7699273,231.23519483947692
PHA,CYBA,-1.6750485,220.2816126466802
PHA,STAT1,2.8763764,219.2385750177902
PHA,HSP90AA1,1.5415338,215.4128235061786
PHA,HSP90AB1,2.1138227,214.31858217648636
PHA,PDIA6,2.6452925,195.64434792933574
PHA,GBP1,3.661475,194.67657992982748
PHA,GZMA,1.930876,184.18115099541384
PHA,PLSCR1,3.0815997,176.49723245618125
PHA,SDF2L1,2.997459,167.89910129881946
PHA,GBP5,2.5699627,164.45053137405858
PHA,SEC61G,2.2906015,161.35149109394393
PHA,TUBA1B,2.3041482,158.8660489145878
PHA,APOL6,2.7950327,153.51539694497316
PHA,CLIC3,-1.5830644,153.1037853666506
PHA,CD38,2.3656936,153.00297162334837
PHA,APOBEC3G,1.5014666,150.27405166224358
PHA,IVNS1ABP,2.7241852,149.16312035500152
PHA,GBP2,2.1590226,148.91497536381598
PHA,ID2,2.2627497,148.640931913588
PHA,IGFBP7,3.1977618,144.18318004858028
PHA,ACTG1,1.2313206,143.3891100006863
PHA,TNFSF10,3.1318614,135.33355707957608
PHA,IRF7,2.4169865,134.59213154362607
PHA,PARP14,2.12351,133.91389512121253
PHA,GBP4,2.2240798,129.26361304033807
PHA,MXD4,-2.4781718,127.91431910368095
PHA,EIF2AK2,2.1681874,127.72623136060739
PHA,SAMD9L,2.0114992,123.89496470989076
PHA,KLRB1,-1.8487338,123.29216752897001
PHA,IFITM3,2.596063,121.40501890980086
PHA,TNFRSF18,2.57207,120.29361909375777
PHA,LSP1,-1.6530657,115.17436321734887
PHA,AC004687.1,-1.2401326,109.80180490866861
PHA,PKM,2.22513,108.5620626552805
PHA,TNFRSF9,5.782195,108.12656634167719
PHA,CDK6,4.053169,105.59971731308507
PHA,NME2,1.9017363,104.98740128190451
PHA,CD48,1.923879,104.29842781146077
PHA,IL2RA,3.5888782,103.05174035119686
PHA,TPM4,3.1341016,102.49194177077464
PHA,FCER1G,1.4391205,100.78769861561527
PHA,KLRC1,1.9696845,98.01724126900747
PHA,GNPTAB,1.7522445,97.66645891787752
PHA,VMP1,2.6174083,92.88738336902888
PHA,UPP1,1.8506919,92.11546713109703
PHA,LAP3,2.336547,90.35899100592016
PHA,MX2,2.5828526,90.24045722679486
PHA,CD69,1.675002,86.37802071507438
PHA,LMAN1,2.2229202,85.12751898541721
PHA,IFIT2,2.8675604,83.89566352459559
PHA,SLAMF7,2.3013916,81.55082531755777
PHA,LINC01871,2.341186,79.76893399719447
PHA,RSAD2,3.06183,78.83157802515078
PHA,FEZ1,3.9296753,78.29173668237841
PHA,LBH,-1.7083308,77.05161108639822
PHA,NFKBIA,1.2264879,76.8304555656247
PHA,HERC5,2.7128472,76.80232791795953
PHA,CTSC,1.5890146,76.6614395222979
PHA,SOCS1,3.0312293,74.7050207598126
PHA,GZMM,-1.8845729,74.24269792952452
PHA,P2RX5,3.946012,70.25968138347069
PHA,HCST,-1.2692627,68.8045281483135
PHA,PDCD4,-1.731769,68.60009075897392
PHA,DDX21,2.0842016,65.99415455330143
PHA,PRDM1,2.983199,65.12934235698594
PHA,ATM,-1.9515566,64.82692551271599
PHA,YWHAQ,1.5495917,60.742646505894434
PHA,CREM,1.6689317,59.67701499773426
PHA,EPB41,-1.8193438,58.96489694920554
PHA,SOCS2,6.161091,58.6009558617
PHA,CD226,2.5041301,58.22074510088013
PHA,SORL1,-1.8877537,57.820521739610356
PHA,PIK3R1,-1.3745894,57.419538278872466
PHA,BATF,2.593722,55.286166496540744
PHA,PTPN6,2.5517852,54.803883212047275
PHA,AOAH,-1.6820132,54.45907256802768
PHA,IER3,1.6738949,53.667389291726295
PHA,TRIM22,1.4979168,51.70648265506532
PHA,IFNG,4.677172,50.56384982030248
PHA,MYO1F,-1.6628736,50.361255728674315
PHA,OAS3,3.3473148,49.95761826686972
PHA,PRMT2,-1.1414952,49.433764335113096
PHA,FOXP1,-1.2703891,48.58741237236958
PHA,IFIT1,2.9299402,47.94853655545371
PHA,PPM1K,1.5867913,46.78533068191309
PHA,NFKB1,1.4933815,45.702906994964806
PHA,BPGM,2.2900586,44.83104303317711
PHA,PIK3IP1,-2.3068664,42.87873400466254
PHA,SLC27A2,5.8683734,40.333604743560166
PHA,GZMH,1.2255973,39.93916573597171
PHA,TNFRSF4,2.0918784,38.836267426277885
PHA,SEPTIN6,-1.2923782,38.04761737351442
PHA,KLRF1,-1.4870936,37.954495876154816
PHA,IFIH1,2.3546367,36.764072728138125
PHA,HIPK2,1.4483463,36.53430624951354
PHA,PMAIP1,2.0957212,36.195089155075586
PHA,ZBTB20,-2.0274618,35.83944859063373
PHA,ADGRE5,1.2849438,35.56457228052031
PHA,GCHFR,-2.4982374,34.975646105577646
PHA,SPON2,-4.2793164,34.94572008179569
PHA,AUTS2,-2.6787076,34.497428333970404
PHA,PYHIN1,-1.0816791,31.924132059852393
PHA,CBLB,1.4316658,31.826275855043676
PHA,FRMD4B,4.9910517,31.106589123790275
PHA,IFITM1,1.2764293,31.05865131087171
PHA,DUSP4,1.8007896,30.732193607555367
PHA,ARID5B,1.8582963,30.697101283341773
PHA,TGFB1,-1.1222956,29.939016009758337
PHA,H1FX,-1.2690278,29.483101215675774
PHA,PIM1,1.5026479,29.438786620351674
PHA,SUN2,-1.5021667,29.102995238074037
PHA,MAP3K8,1.588509,29.095155648913618
PHA,TNFAIP8,1.3675786,28.899679564568007
PHA,CCL4L2,2.1505637,28.641376081611433
PHA,SEPTIN9,-1.7986784,28.019005068325768
PHA,JUN,-1.3861257,27.96988319897092
PHA,PTGER2,2.5585678,27.947005869630182
PHA,RNF166,-2.1613057,27.453296265124372
PHA,SLA2,-1.7168387,27.26714515283634
PHA,GPR171,2.4993246,26.801563111353428
PHA,SH2D1B,-1.1933569,25.144859138988913
PHA,LINC01943,4.0435276,25.09297243866664
PHA,SMAD7,-1.527508,24.640333159285667
PHA,FYB1,-1.1812096,23.984323360884773
PHA,XCL2,2.1581361,23.969497794757956
PHA,SYNE1,-1.8640575,23.945541230802675
PHA,SATB1,1.279163,22.918895995976705
PHA,SIPA1L1,1.6199346,22.884715055295697
PHA,MIR155HG,2.3004212,22.868019497695048
PHA,BCL11B,-2.0325203,22.85210517393759
PHA,RBM38,-2.2430956,22.234301868161992
PHA,SETBP1,3.2507777,21.94478423391
PHA,GADD45B,1.0416012,21.859953617319412
PHA,LYAR,-1.5636206,21.832922437442775
PHA,CYP51A1,2.2243714,21.18151809454966
PHA,CLEC2D,1.112652,21.18151809454966
PHA,ADGRG1,-2.3108368,21.002011414062384
PHA,PHLDA1,3.206695,20.306683742838004
PHA,YPEL1,-2.1121879,19.892481433720363
PHA,PLP2,1.0230188,19.438069000166383
PHA,MIAT,1.8646148,19.30413674550926
PHA,CYTOR,1.3947668,19.10214938408774
PHA,PITPNC1,-1.4046248,18.033526128716748
PHA,PTMS,3.0701284,16.90190976344934
PHA,RGS16,2.0274358,16.852660625232424
PHA,S100A4,-1.4709895,16.71448123344935
PHA,PTPN22,-1.2470518,16.517325487804484
PHA,IL16,-1.5532161,16.410074586539846
PHA,BATF3,3.1000495,16.225903541987403
PHA,PLEKHF1,-2.3031359,16.021888415332807
PHA,TESPA1,2.0919106,15.889181854580405
PHA,CCR1,2.6489582,14.676554395057893
PHA,TMIGD2,-1.6531864,14.507169502298513
PHA,FABP5,1.2180004,14.25990944199591
PHA,SNX9,2.218406,13.813959722447418
PHA,CEBPD,-1.0606462,13.79249454774489
PHA,IRF3,-1.1905074,13.622409146495826
PHA,ATP8A1,-1.7855796,13.490551347214469
PHA,GLIPR1,-1.6217761,13.450345784578545
PHA,CXXC5,-1.535291,13.125571949642257
PHA,PRKACB,-1.4551135,13.100662449097204
PHA,SPTY2D1,1.1665198,12.896438312710462
PHA,TRG-AS1,-1.7440047,12.633237821624625
PHA,FGD3,-1.461741,12.369382260584121
PHA,KLHL24,-1.8413918,11.969412319309335
PHA,NT5C3A,1.0461878,11.69516085083747
PHA,CEMIP2,-1.535876,11.4783317127281
PHA,PBXIP1,-1.7578338,11.461229095999965
PHA,AHNAK,-1.8485276,11.348639849819419
PHA,RGS2,-2.8292103,11.17471689980673
PHA,COTL1,1.1784129,10.95702878372088
PHA,LINC00996,-1.9309063,10.955453876760117
PHA,C12orf75,-1.2829231,10.589138990546063
PHA,DDX60L,1.2771807,10.572568073203865
PHA,CD52,-1.8710357,10.519288221327807
PHA,TBC1D10C,-1.2484272,10.412874549754324
PHA,FAM43A,-2.7080038,10.277526900655792
PHA,SPOCK2,-1.0843133,10.249598213376991
PHA,LTA,2.1714149,10.187684712425632
PHA,BCL9L,-2.2811313,10.100846914933188
PHA,PPP1R15A,1.0030066,10.054119028994668
PHA,CCR7,1.6323948,9.778202428414566
PHA,SELL,1.4023398,9.778202428414566
PHA,PDE4B,1.4768106,9.401859347030863
PHA,DIP2A,-1.4362377,9.394279067470503
PHA,AGPAT4,-1.7283217,9.299118989649383
PHA,CD8A,-1.4073203,9.16646040091589
PHA,MHENCR,-2.690102,9.095587146123723
PHA,PLEKHA2,-1.0606343,8.894407562776557
PHA,ABCB1,-2.0012248,8.719644778379635
PHA,IL1RN,1.6675538,8.66323542326908
PHA,RBL2,-1.4658331,8.524698611033411
PHA,DPEP2,-3.1828048,8.401039252362677
PHA,PDE3B,-1.6647221,8.038263369209071
PHA,RDX,1.040557,7.881203770013388
PHA,ACTA2,2.2186375,7.769851305543334
PHA,XCL1,2.2596853,7.66151065804927
PHA,ABTB1,-1.7913641,7.141451319166641
PHA,HSPA1A,1.3023902,6.589078306180468
PHA,MLLT3,-1.157224,6.560589968197467
PHA,TSC22D3,-1.3471519,6.52078174723266
PHA,PTGDS,2.5938265,6.464595183846052
PHA,PCID2,-1.3031999,6.374016233335583
PHA,PREX1,-1.0257033,6.107241753683015
PHA,IRF4,1.9277686,6.060980056085369
PHA,NXPH4,-1.8596,5.9546524227215345
PHA,CKAP2,-1.8160126,5.928800810736582
PHA,CDKN2D,-1.2125138,5.875568911384564
PHA,GLCCI1,-1.4556241,5.859037564553782
PHA,ABLIM1,-1.6372691,5.845895938296418
PHA,PTGDR,-1.9983699,5.7627000518644325
PHA,F2R,-1.4480541,5.608196398254951
PHA,CD83,1.2307731,5.558798855550416
PHA,CDKN1B,-1.1800187,5.505607050281465
PHA,HLA-DPB1,-1.1857277,5.5011551798635265
PHA,RHOBTB3,-1.7353113,5.243013147538573
PHA,CBR4,-1.9697464,5.220426054731869
PHA,LAG3,3.4667437,5.102915538217284
PHA,CMIP,-1.2770444,4.962322183093299
PHA,BCL2L11,1.1485617,4.749387011964515
PHA,FAM118A,-1.4834893,4.736043576323787
PHA,S1PR1,-2.4780383,4.664006442665126
PHA,ST6GALNAC6,-1.258374,4.531727499580488
PHA,PILRB,-1.1990017,4.5155268583799835
PHA,DUSP2,-1.4078828,4.4210209170865555
PHA,CARD19,-1.3283592,4.4185440417614155
PHA,HIST1H1C,-1.3934816,4.402121541799616
PHA,AC008105.3,-1.2130907,4.23356338934707
PHA,SIPA1,-1.1403002,4.172391065433915
PHA,NMT2,-1.7667063,4.077007082892729
PHA,CCL3L1,1.0204507,4.046866409845212
PHA,TCF7,-1.2834376,4.015441568054013
PHA,TLE1,-1.9443161,3.964374065378158
PHA,CMSS1,1.4756804,3.924434561261447
PHA,CCNH,-1.1481506,3.9144321139316296
PHA,RAB37,-3.5917826,3.9010919467118024
PHA,LINC00861,-2.0277264,3.896150113429571
PHA,WBP4,1.0182964,3.8698729267193315
PHA,KCNK6,1.6680075,3.823805572678395
PHA,SNHG14,-1.3415409,3.6790992820525776
PHA,ABHD15,-1.877759,3.5598668089829393
PHA,HIST1H1E,-1.0583259,3.545952067585267
PHA,RALGDS,-1.0663542,3.450009103538343
PHA,ZFP36,-1.6128709,3.397267881594874
PHA,CD300A,-1.5843357,3.3912643316934576
PHA,TBCD,-1.1237243,3.3465696576583888
PHA,ADAM28,-2.7956643,3.3465696576583888
PHA,AC245407.2,-2.1335866,3.3198924341621603
PHA,S1PR5,-1.4852256,3.247894220655461
PHA,ST8SIA6,1.2910999,3.226222399761411
PHA,ITM2C,-1.9012661,3.164466612493252
PHA,DBP,-2.6269774,3.093009531466101
PHA,BNIP3L,-1.0201936,3.082512016407197
PHA,COLGALT2,-2.479387,3.0730922233555327
PHA,RASA3,-1.1547115,3.0646298053112684
PHA,SLC25A45,-1.4343392,3.031695106659034
PHA,CTDSP2,-1.5214071,2.878787388576812
PHA,FCMR,-1.6115291,2.8699324159199975
PHA,DAAM1,-1.0293506,2.837246695710542
PHA,CCDC18-AS1,-1.0310663,2.6907343098029237
PHA,LRMP,-1.3487687,2.5318784726713477
PHA,KLF3,-1.1194187,2.511671110691925
PHA,DLGAP1-AS1,-1.2362282,2.490486224614865
PHA,PDE7A,-1.1274316,2.4291866324308247
PHA,TTC38,-1.6368313,2.4291866324308247
PHA,PSME4,-1.0662491,2.4227629835613587
PHA,LIM2,1.8693645,2.417253984789609
PHA,EPHA4,-3.1506133,2.3663963505886114
PHA,BAZ2B,-1.6115131,2.344724425670387
PHA,PWWP3A,-1.0001293,2.3108062061421806
PHA,MYBL1,-1.1258243,2.306759102977312
PHA,P2RY10,-1.2958682,2.306759102977312
PHA,TCP11L2,-1.9771175,2.300311917770605
PHA,PCMTD2,-1.9833734,2.2140389819605244
PHA,PRKY,-1.1972789,2.206426016668724
PHA,LMNA,1.0330054,2.2037264994634898
PHA,PLXND1,-2.6795206,2.1971668857237994
PHA,CTSF,-2.921884,2.1693179118816683
PHA,FGR,-3.0434198,2.104001006815899
PHA,SMAD3,-2.4252183,2.0899174193739616
PHA,TSPOAP1-AS1,-1.0198665,2.051414039753335
PHA,CPNE7,-3.0459971,2.0427323997010403
